label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,16384,4096,32000,bfloat16,cuda,mean,False,False,False,52.125694274902344,4607837184,0.0023627351259632914,0.0016671470475952447,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,490.65472412109375,2422833664,0.0016610565691882056,0.0031484867907311093,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,507.4554748535156,2274976256,0.0016610565691882056,0.003861787510302249,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,524.7672119140625,2201047552,0.0016610565691882056,0.004490413005621317,nan,,
accurate_budget_fp32,accurate,budget,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,512.19970703125,2261258240,0.0016610565691882056,0.003984152429590449,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,282.1140441894531,1894351360,0.002876633526924405,0.0031484867907311093,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,288.39117431640625,1613324800,0.002876633526924405,0.003861787510302249,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,304.7464904785156,1474646528,0.002876633526924405,0.004490413005621317,nan,,
balanced_budget_fp32,balanced,budget,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,294.265869140625,1587942912,0.0033835605643871697,0.003984152429590449,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,65.68550109863281,1370063360,0.002876633526924405,0.0032795540002589657,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,68.25472259521484,1089036800,0.002876633526924405,0.003958951002218251,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,74.00243377685547,950358528,0.002876633526924405,0.004558752154751109,nan,,
compact_budget_fp32,compact,budget,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,71.31954956054688,1063654912,0.0033835605643871697,0.004075795703611718,nan,,
auto_fp32,auto,auto,float32,16384,4096,32000,bfloat16,cuda,mean,False,False,False,68.32742309570312,1089036800,0.002876633526924405,0.0039589738207530265,nan,,
liger,,,,16384,4096,32000,bfloat16,cuda,mean,False,False,False,64.21405029296875,1728528384,0.0023573051917303058,0.0034810731813566817,nan,,
